scraped_at_utc,state_slug,city_slug,listing_id,details_slug,url,status,vehicle_type,total_available,price_hourly_usd,price_daily_usd,price_weekly_usd,price_monthly_usd
2026-07-05T20:09:18Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,2,,10.00,50.00,190.00
2026-07-05T20:09:18Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-05T20:09:18Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,2,,10.00,50.00,190.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-05T20:14:59Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,2,,10.00,50.00,190.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-05T20:43:53Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,2,,10.00,50.00,190.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-05T22:45:41Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,6,,20.00,100.00,350.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,3,,10.00,50.00,190.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-06T01:48:31Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,3,,10.00,50.00,190.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-06T06:14:24Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,3,,10.00,50.00,190.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-06T09:51:17Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,3,,10.00,50.00,190.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-06T11:43:34Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,3,,10.00,50.00,190.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-06T14:03:50Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,3,,10.00,50.00,190.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-06T17:17:14Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,8912,7875-greenwell-springs-rd-70814,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7875-greenwell-springs-rd-70814,1,Bobtail / Box Truck,2,,50.00,150.00,500.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,9125,14015-florida-blvd-70819,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,1,Truck + Trailer,3,,10.00,50.00,190.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,10594,6903-cezanne-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,1,Bobtail / Box Truck,12,,8.00,41.00,130.00
2026-07-06T19:10:24Z,louisiana,baton-rouge,15246,7485-scenic-highway-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7485-scenic-highway-70807,1,Bobtail / Box Truck,2,,14.00,60.00,175.00
2026-07-06T21:04:27Z,louisiana,baton-rouge,3966,2392-e-smiley-ave-70806,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,1,Truck + Trailer,7,,20.00,100.00,350.00
2026-07-06T21:04:27Z,louisiana,baton-rouge,5022,7802-howell-blvd-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,1,Truck + Trailer,5,,15.00,75.00,250.00
2026-07-06T21:04:27Z,louisiana,baton-rouge,7400,6405-scenic-hwy-70807,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,1,Truck + Trailer,3,,15.00,100.00,275.00
2026-07-06T21:04:27Z,louisiana,baton-rouge,7480,1700-scenic-hwy-70802,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/1700-scenic-hwy-70802,1,Bobtail / Box Truck,5,,10.00,50.00,150.00
2026-07-06T21:04:27Z,louisiana,baton-rouge,7748,17912-sotile-dr-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,1,Truck + Trailer,3,,20.00,100.00,350.00
2026-07-06T21:04:27Z,louisiana,baton-rouge,8388,10455-reiger-rd-70809,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,1,Truck + Trailer,2,,12.00,60.00,280.00
2026-07-06T21:04:27Z,louisiana,baton-rouge,8535,10455-reiger-rd-70809-bobtails,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,1,Bobtail / Box Truck,3,,10.00,55.00,250.00
